sequence,v115@9gA8IeB8HeB8FeE8EeB8JeUAJvhFamB5nBTjBdsB0q?BurB,v115@9gA8IeB8HeB8FeE8EeB8JeUAJvhFGhBTjB/rBNsB0q?B6sB,v115@9gA8IeB8HeB8FeE8EeB8JeUAJvhFRhBGjBTmB0qBXs?BlsB,v115@9gA8IeB8HeB8FeE8EeB8JeUAJvhFFhBXiBTjB0qBxr?BSxB,v115@9gA8IeB8HeB8FeE8EeB8JeaFJvhF3hB9nBTjBUrBUs?BuqB,v115@9gA8IeB8HeB8FeE8EeB8JeRAJvhFtmBTjBmlB0qBXs?B6sB,v115@9gA8IeB8HeB8FeE8EeB8JeFAJvhFXhBTjB0qBxrB8r?B+sB,v115@9gA8IeB8HeB8FeE8EeB8JeFAJvhFXhB5nBTjB0qBmr?B8rB,v115@9gA8IeB8HeB8FeE8EeB8JeaFJvhFRhBTjBuqBcrBXs?B9sB,v115@9gA8IeB8HeB8FeE8EeB8JeUAJvhFTjBxmBFmBXnB0q?BSxB,v115@9gA8IeB8HeB8FeE8EeB8JeUAJvhFamBumBTjB0qBXs?B9sB,v115@9gA8IeB8HeB8FeE8EeB8JeUAJvhFGhBxiB/rBNsB0q?BCtB,v115@9gA8IeB8HeB8FeE8EeB8JeaFJvhFWmB9nBTjB8qBUs?B3rB,v115@9gA8IeB8HeB8FeE8EeB8JeUAJvhFGhB/rBxnBNsB0q?BCtB,v115@9gA8IeB8HeB8FeE8EeB8JeaFJvhFUhBTjBtqBGsBcs?B3rB,v115@9gA8IeB8HeB8FeE8EeB8JeaFJvhF3hBTjBtqBGsBcs?BUrB,v115@9gA8IeB8HeB8FeE8EeB8JeUAJvhFerBtrBxnB3lBCo?BUsB,v115@9gA8IeB8HeB8FeE8EeB8JeUAJvhFUhB5nBTjBlqB3r?BasB,v115@9gA8IeB8HeB8FeE8EeB8JeUAJvhFymB5nBTjBfsBlq?BUrB,v115@9gA8IeB8HeB8FeE8EeB8JeUAJvhFGjB3nBxqBlrBzq?BUsB
queuecomp,"Z,*p6"
cover,40.00%,36.67%,32.70%,30.00%,27.38%,22.22%,21.11%,20.00%,16.19%,12.06%,8.89%,22.70%,9.52%,6.35%,5.71%,2.86%,4.29%,18.33%,6.35%,7.14%
type,M,M,M,M,M,M,M,M,M,M,M,X#Save O,X#Save I,X#Save O,X#Save I,X#Save I,X#Save O,X#Save J,X#Save J,X#Save L
ZTILJSZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZTILJSO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZTILJZS,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
ZTILJZO,O,X,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
ZTILJOS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
ZTILJOZ,O,X,X,O,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X
ZTILSJZ,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
ZTILSJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZTILSZJ,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
ZTILSZO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZTILSOJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
ZTILSOZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
ZTILZJS,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTILZJO,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTILZSJ,O,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
ZTILZSO,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTILZOJ,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTILZOS,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ZTILOJS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ZTILOJZ,O,X,X,O,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X
ZTILOSJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
ZTILOSZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
ZTILOZJ,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTILOZS,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ZTIJLSZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZTIJLSO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZTIJLZS,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
ZTIJLZO,O,X,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
ZTIJLOS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
ZTIJLOZ,O,X,X,O,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X
ZTIJSLZ,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X,O
ZTIJSLO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,O
ZTIJSZL,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,O,O,X,O
ZTIJSZO,X,X,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
ZTIJSOL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,O
ZTIJSOZ,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
ZTIJZLS,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
ZTIJZLO,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
