sequence,v115@GhA8HeD8FeD8EeC8JeT/IvhFZlBumB3iBtqBXsBarB,v115@GhA8HeD8FeD8EeC8JeT/IvhFihB3iB9qBcrBXsBOqB,v115@GhA8HeD8FeD8EeC8Jei/IvhFRhB3iBTmB0qBXsBFqB,v115@GhA8HeD8FeD8EeC8JeT/IvhF0gBlhB3iBxqBXsB2vB,v115@GhA8HeD8FeD8EeC8JeT/IvhFNlBUhBunB3qB3rBasB,v115@GhA8HeD8FeD8EeC8JeT/IvhFdmBRiBCnB0qBXsBOqB,v115@GhA8HeD8FeD8EeC8JeT/IvhF0hBliBxqBXsBKqBfrB,v115@GhA8HeD8FeD8EeC8JeT/IvhFZlB0hBliBCrBXsBfrB,v115@GhA8HeD8FeD8EeC8JeT/IvhFRhBunB/rBasB0qBNqB,v115@GhA8HeD8FeD8EeC8JeT/IvhF3iBxlB0lBlmB2vBXsB,v115@GhA8HeD8FeD8EeC8JeT/IvhFamBumB3iB0qBXsBNqB,v115@GhA8HeD8FeD8EeC8Jex/IvhFihB3iB9qBcrBXsBmpB,v115@GhA8HeD8FeD8EeC8JeT/IvhFNlBymBunBfsB3qBUrB,v115@GhA8HeD8FeD8EeC8JeiBJvhF3iBxkBcrB9qBXsBmpB,v115@GhA8HeD8FeD8EeC8JeT/IvhF3hBunBdsBiqB/qBUrB,v115@GhA8HeD8FeD8EeC8JeT/IvhFUhBunBdsBiqB/qB3rB,v115@GhA8HeD8FeD8EeC8Je3CJvhFxkBdrBqrBmkBUnB3qB,v115@GhA8HeD8FeD8EeC8JeT/IvhFZlB3hB3iBUrBFsBuqB,v115@GhA8HeD8FeD8EeC8JeT/IvhFZlBWmB3iB8qBFsB3rB,v115@GhA8HeD8FeD8EeC8Jei/IvhF3iBUlBxrBFrB3qBzrB
queuecomp,"S,*p6"
cover,40.00%,36.67%,32.70%,30.00%,27.38%,22.22%,21.11%,20.00%,16.19%,12.06%,8.89%,22.70%,9.52%,6.35%,5.71%,2.86%,4.29%,18.33%,6.35%,7.14%
type,M,M,M,M,M,M,M,M,M,M,M,X#Save O,X#Save I,X#Save O,X#Save I,X#Save I,X#Save O,X#Save L,X#Save L,X#Save J
STILJSZ,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
STILJSO,O,X,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
STILJZS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
STILJZO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
STILJOS,O,X,X,O,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X
STILJOZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
STILSJZ,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
STILSJO,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
STILSZJ,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
STILSZO,X,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
STILSOJ,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
STILSOZ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
STILZJS,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X,O
STILZJO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,O
STILZSJ,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,O,O,X,O
STILZSO,X,X,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
STILZOJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,O
STILZOS,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
STILOJS,O,X,X,O,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X
STILOJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
STILOSJ,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
STILOSZ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
STILOZJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X
STILOZS,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X
STIJLSZ,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
STIJLSO,O,X,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
STIJLZS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
STIJLZO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
STIJLOS,O,X,X,O,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X
STIJLOZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
STIJSLZ,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STIJSLO,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STIJSZL,O,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
STIJSZO,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STIJSOL,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STIJSOZ,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
STIJZLS,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
STIJZLO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
STIJZSL,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
STIJZSO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
STIJZOL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
STIJZOS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
STIJOLS,O,X,X,O,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X
STIJOLZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
STIJOSL,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STIJOSZ,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
STIJOZL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
STIJOZS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
STISLJZ,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
STISLJO,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
STISLZJ,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
STISLZO,X,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
STISLOJ,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
STISLOZ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
STISJLZ,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STISJLO,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STISJZL,O,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
STISJZO,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STISJOL,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STISJOZ,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
STISZLJ,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X
STISZLO,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X
STISZJL,O,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
STISZJO,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
STISZOL,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
STISZOJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
STISOLJ,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
STISOLZ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
