sequence,v115@9gA8IeB8HeD8DeG8CeB8JeUAJvhEamB5nBTjBdsBur?B,v115@9gA8IeB8HeD8DeG8CeB8JeUAJvhEGhBTjB/rBNsB6s?B,v115@9gA8IeB8HeD8DeG8CeB8JeUAJvhERhBGjBTmBXsBls?B,v115@9gA8IeB8HeD8DeG8CeB8JeUAJvhEFhBXiBTjBxrBSx?B,v115@9gA8IeB8HeD8DeG8CeB8JeRAJvhEtmBTjBmlBXsB6s?B,v115@9gA8IeB8HeD8DeG8CeB8JeFAJvhEXhBTjBxrB8rB+s?B,v115@9gA8IeB8HeD8DeG8CeB8JeFAJvhEXhB5nBTjBmrB8r?B,v115@9gA8IeB8HeD8DeG8CeB8JeUAJvhETjBxmBFmBXnBSx?B,v115@9gA8IeB8HeD8DeG8CeB8JeUAJvhEamBumBTjBXsB9s?B,v115@9gA8IeB8HeD8DeG8CeB8JeRAJvhEXiBTjBmlB9sBqr?B,v115@9gA8IeB8HeD8DeG8CeB8JeUAJvhETjBimB9sBGmBXs?B,v115@9gA8IeB8HeD8DeG8CeB8JeUAJvhEGhB/rBxnBNsBCt?B,v115@9gA8IeB8HeD8DeG8CeB8JeUAJvhEGhBxiB/rBNsBCt?B,v115@9gA8IeB8HeD8DeG8CeB8JeFAJvhExhBTjBUmBXsBGs?B
queuecomp,"*p7"
cover,40.00%,36.67%,31.03%,28.89%,22.22%,21.11%,20.00%,9.52%,8.89%,6.35%,6.35%,6.35%,22.70%,30.32%
type,M,M,M,M,M,M,M,M,M,M,M,M,X#Save O,X#Save L
TILJSZO,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TILJSOZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TILJZSO,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TILJZOS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TILJOSZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TILJOZS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TILSJZO,O,X,X,O,X,X,X,X,X,X,X,X,O,X
TILSJOZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TILSZJO,O,X,X,O,X,O,X,X,X,X,X,X,O,X
TILSZOJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TILSOJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TILSOZJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TILZJSO,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TILZJOS,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TILZSJO,O,X,X,O,X,O,X,X,X,X,X,X,O,X
TILZSOJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TILZOJS,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TILZOSJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TILOJSZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TILOJZS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TILOSJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TILOSZJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TILOZJS,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TILOZSJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJLSZO,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJLSOZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJLZSO,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TIJLZOS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TIJLOSZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJLOZS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TIJSLZO,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TIJSLOZ,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJSZLO,X,X,X,X,O,O,O,X,X,X,X,X,O,X
TIJSZOL,X,X,X,X,O,O,O,X,X,X,X,X,O,X
TIJSOLZ,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TIJSOZL,X,X,X,X,O,O,O,X,X,X,X,X,O,X
TIJZLSO,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TIJZLOS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TIJZSLO,X,X,X,X,X,O,O,X,X,X,X,X,O,X
TIJZSOL,X,X,X,X,X,O,O,X,X,X,X,X,O,X
TIJZOLS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TIJZOSL,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TIJOLSZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJOLZS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TIJOSLZ,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TIJOSZL,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TIJOZLS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TIJOZSL,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TISLJZO,O,O,X,O,X,X,X,X,X,X,X,X,O,X
TISLJOZ,O,O,X,O,X,X,X,X,X,X,X,X,O,X
TISLZJO,O,O,X,O,X,O,X,X,X,X,X,X,O,X
TISLZOJ,O,O,X,O,X,X,X,X,X,X,X,X,O,X
TISLOJZ,O,O,X,O,X,X,X,X,X,X,X,X,O,X
TISLOZJ,O,O,X,O,X,X,X,X,X,X,X,X,O,X
TISJLZO,X,O,X,X,O,X,X,X,X,X,X,X,O,X
TISJLOZ,X,O,X,X,O,X,X,X,X,X,X,X,O,X
TISJZLO,X,O,X,X,O,O,O,X,X,X,X,O,O,X
TISJZOL,X,O,X,X,O,O,O,X,X,X,X,O,O,X
TISJOLZ,X,O,X,X,O,X,X,X,X,O,X,X,X,X
TISJOZL,X,O,X,X,O,O,O,X,X,X,X,X,O,X
TISZLJO,O,O,X,O,X,O,X,X,X,X,X,X,O,X
TISZLOJ,O,O,X,O,X,X,X,X,X,X,X,X,O,O
TISZJLO,X,O,X,X,X,O,X,X,X,X,X,O,O,O
TISZJOL,X,O,X,X,X,O,X,X,X,X,X,O,O,O
TISZOLJ,O,O,X,O,X,X,X,X,X,X,X,X,X,O
TISZOJL,X,O,X,X,X,O,X,X,X,X,X,X,O,O
TISOLJZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TISOLZJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TISOJLZ,X,O,X,X,O,X,X,X,X,O,X,X,X,X
TISOJZL,X,O,X,X,O,O,O,X,X,X,X,X,O,X
TISOZLJ,O,O,X,O,X,X,X,X,X,X,X,X,X,O
TISOZJL,X,O,X,X,X,O,X,X,X,X,X,X,O,O
TIZLJSO,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TIZLJOS,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TIZLSJO,O,X,X,O,X,O,X,X,X,X,X,X,O,X
TIZLSOJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZLOJS,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TIZLOSJ,O,X,X,O,X,X,X,X,X,X,X,X,X,O
TIZJLSO,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TIZJLOS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TIZJSLO,X,X,X,X,X,O,O,X,X,X,X,X,O,X
TIZJSOL,X,X,X,X,X,O,O,X,X,X,X,X,O,X
TIZJOLS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TIZJOSL,X,X,X,X,X,O,O,X,X,X,X,X,X,O
TIZSLJO,O,O,X,O,X,O,X,X,X,X,X,X,O,X
TIZSLOJ,O,O,X,O,X,X,X,X,X,X,X,X,O,O
TIZSJLO,X,O,X,X,X,O,X,X,X,X,X,O,O,O
TIZSJOL,X,O,X,X,X,O,X,X,X,X,X,O,O,O
TIZSOLJ,O,O,X,O,X,X,X,X,X,X,X,X,X,O
TIZSOJL,X,O,X,X,X,O,X,X,X,X,X,X,O,O
TIZOLJS,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TIZOLSJ,O,X,X,O,X,X,X,X,X,X,X,X,X,O
TIZOJLS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TIZOJSL,X,X,X,X,X,O,O,X,X,X,X,X,X,O
TIZOSLJ,O,O,X,O,X,X,X,X,X,X,X,X,X,O
TIZOSJL,X,O,X,X,X,O,X,X,X,X,X,X,O,O
TIOLJSZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOLJZS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TIOLSJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOLSZJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOLZJS,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TIOLZSJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOJLSZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOJLZS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TIOJSLZ,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TIOJSZL,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TIOJZLS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TIOJZSL,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TIOSLJZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOSLZJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOSJLZ,X,O,X,X,O,X,X,X,X,O,X,X,X,X
TIOSJZL,X,O,X,X,O,O,O,X,X,X,X,X,O,X
TIOSZLJ,O,O,X,O,X,X,X,X,X,X,X,X,X,O
TIOSZJL,X,O,X,X,X,O,X,X,X,X,X,X,O,O
TIOZLJS,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TIOZLSJ,O,X,X,O,X,X,X,X,X,X,X,X,X,O
TIOZJLS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TIOZJSL,X,X,X,X,X,O,O,X,X,X,X,X,X,O
TIOZSLJ,O,O,X,O,X,X,X,X,X,X,X,X,X,O
TIOZSJL,X,O,X,X,X,O,X,X,X,X,X,X,O,O
TLIJSZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJSOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJZSO,O,X,X,X,X,O,O,X,X,X,X,X,X,X
