sequence,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBamB5nBTjBdsBurB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBRhBGjBTmBXsBlsB,v115@RhA8AeB8DeG8CeB8Je/EJvhFFgBxhBTjBUmBXsBGsB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBFhBXiBTjBxrBSxB,v115@RhA8AeB8DeG8CeB8Je/EJvhFRgBtmBTjBmlBXsB6sB,v115@RhA8AeB8DeG8CeB8Je/EJvhFFgBXhBTjBxrB8rB+sB,v115@RhA8AeB8DeG8CeB8Je/EJvhFFgBXhB5nBTjBmrB8rB,v115@RhA8AeB8DeG8CeB8Je2EJvhFXhBXiBTjB9sBClB0rB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBamBumBTjBXsB9sB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBTjBxmBFmBXnBSxB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBTjBimB9sBGmBXsB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBGhBTjB/rBNsB6sB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBGhBxiB/rBNsBCtB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBGhB/rBxnBNsBCtB
queuecomp,"S,*p6"
cover,40.00%,32.22%,31.27%,30.79%,26.67%,21.11%,20.00%,15.08%,10.95%,9.52%,6.35%,41.67%,25.87%,7.14%
type,M,M,M,M,M,M,M,M,M,M,M,X#Save I,X#Save O,X#Save O
STILJSZ,O,X,X,O,X,X,X,X,X,X,X,X,O,X
STILJSO,O,X,X,O,X,X,X,X,X,X,X,X,X,X
STILJZS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
STILJZO,O,X,X,O,X,O,O,X,X,X,X,X,X,X
STILJOS,O,X,X,O,X,X,X,X,X,X,X,X,X,X
STILJOZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
STILSJZ,O,X,X,O,X,X,X,X,X,X,X,X,O,X
STILSJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X
STILSZJ,O,X,X,O,X,O,X,X,X,X,X,X,O,X
STILSZO,O,X,X,O,X,X,X,X,X,X,X,X,X,X
STILSOJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
STILSOZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
STILZJS,O,X,X,O,X,O,X,X,X,X,X,X,X,X
STILZJO,O,X,X,O,X,O,X,X,X,X,X,X,X,X
STILZSJ,O,X,X,O,X,O,X,X,X,X,X,X,O,X
STILZSO,O,X,X,O,X,X,X,X,X,X,X,X,X,X
STILZOJ,O,X,X,O,X,X,X,X,X,X,O,X,X,X
STILZOS,O,X,X,O,X,X,X,X,X,X,X,X,X,X
STILOJS,O,X,X,O,X,X,X,X,X,X,X,X,X,X
STILOJZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
STILOSJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
STILOSZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
STILOZJ,O,X,X,O,X,X,X,X,X,X,O,X,X,X
STILOZS,O,X,X,O,X,X,X,X,X,X,X,X,X,X
STIJLSZ,O,X,X,O,X,X,X,X,X,X,X,X,O,X
STIJLSO,O,X,X,O,X,X,X,X,X,X,X,X,X,X
STIJLZS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
STIJLZO,O,X,X,O,X,O,O,X,X,X,X,X,X,X
STIJLOS,O,X,X,O,X,X,X,X,X,X,X,X,X,X
STIJLOZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
STIJSLZ,X,X,X,X,O,X,X,X,X,X,X,O,O,X
STIJSLO,X,X,X,X,O,X,X,X,X,X,X,O,O,X
STIJSZL,X,X,X,X,O,O,O,X,X,X,X,O,O,O
STIJSZO,X,X,X,X,O,O,O,X,X,X,X,O,O,O
STIJSOL,X,X,X,X,O,X,X,O,X,X,X,O,X,X
STIJSOZ,X,X,X,X,O,O,O,X,X,X,X,O,O,X
STIJZLS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
STIJZLO,O,X,X,O,X,O,O,X,X,X,X,X,X,X
STIJZSL,X,X,X,X,X,O,O,X,X,X,X,X,O,X
STIJZSO,X,X,X,X,X,O,O,X,X,X,X,X,O,X
STIJZOL,O,X,X,O,X,O,O,X,X,X,X,X,X,X
STIJZOS,X,X,X,X,X,O,O,X,X,X,X,X,X,X
STIJOLS,O,X,X,O,X,X,X,X,X,X,X,X,X,X
STIJOLZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
STIJOSL,X,X,X,X,O,X,X,O,X,X,X,O,X,X
STIJOSZ,X,X,X,X,O,O,O,X,X,X,X,O,O,X
STIJOZL,O,X,X,O,X,O,O,X,X,X,X,X,X,X
STIJOZS,X,X,X,X,X,O,O,X,X,X,X,X,X,X
STISLJZ,O,X,X,O,X,X,X,X,X,X,X,O,O,X
STISLJO,O,X,X,O,X,X,X,X,X,X,X,O,O,X
STISLZJ,O,X,X,O,X,O,X,X,X,X,X,O,O,X
STISLZO,O,X,X,O,X,X,X,X,X,X,X,O,O,X
STISLOJ,O,X,X,O,X,X,X,X,X,X,X,O,O,X
STISLOZ,O,X,X,O,X,X,X,X,X,X,X,O,O,X
STISJLZ,X,X,X,X,O,X,X,X,X,X,X,O,O,X
STISJLO,X,X,X,X,O,X,X,X,X,X,X,O,O,X
STISJZL,X,X,X,X,O,O,O,X,X,X,X,O,O,O
STISJZO,X,X,X,X,O,O,O,X,X,X,X,O,O,O
STISJOL,X,X,X,X,O,X,X,O,X,X,X,O,X,X
STISJOZ,X,X,X,X,O,O,O,X,X,X,X,O,O,X
