sequence,v115@9gA8IeB8HeD8FeE8OeUAJvhFamBzhB5nB9tBzrBOtB,v115@9gA8IeB8HeD8FeE8OeUAJvhFRhBGjBTmBXsBTtBlsB,v115@9gA8IeB8HeD8FeE8OeFAJvhFxhBTjBUmBXsBTtBGsB,v115@9gA8IeB8HeD8FeE8OeUAJvhFFhBXiBTjBxrBTtBSxB,v115@9gA8IeB8HeD8FeE8OeRAJvhFtmBTjBmlBXsBTtB6sB,v115@9gA8IeB8HeD8FeE8OeFAJvhFXhBTjBxrBTtB8rB+sB,v115@9gA8IeB8HeD8FeE8OeFAJvhFXhB5nBTjBmrBTtB8rB,v115@9gA8IeB8HeD8FeE8OeUAJvhFamBRiBGnBzrBXtB9tB,v115@9gA8IeB8HeD8FeE8OeRAJvhFzhB6oBmlBzrBUtBtsB,v115@9gA8IeB8HeD8FeE8OeRAJvhFXiBTjBmlB9sBqrBTtB,v115@9gA8IeB8HeD8FeE8OeUAJvhFTjBimB9sBGmBTtBXsB,v115@9gA8IeB8HeD8FeE8OeUAJvhFGhBTjB/rBNsBTtB6sB,v115@9gA8IeB8HeD8FeE8OeUAJvhFamBumBTjBXsBTtB9sB,v115@9gA8IeB8HeD8FeE8OeUAJvhFTjBxmBFmBXnBSxBTtB,v115@9gA8IeB8HeD8FeE8OeUAJvhFamBRnB9tBGnBzrBXtB,v115@9gA8IeB8HeD8FeE8OeUAJvhFRhBtnBTmBesBXtB6tB,v115@9gA8IeB8HeD8FeE8OeUAJvhFamBXjBzmB9tBGnBRxB,v115@9gA8IeB8HeD8FeE8OeUAJvhFamBXjB+tBRsBtrBTsB,v115@9gA8IeB8HeD8FeE8OeUAJvhFRhBSnB/rB9tBTsBOtB
queuecomp,"O,*p6"
cover,40%,35.95%,30.32%,29.88%,22.22%,21.11%,20%,13.33%,6.67%,6.35%,6.35%,36.67%,8.89%,9.52%,6.35%,16.67%,7.14%,1.31%,28.89%
type,M,M,M,M,M,M,M,M,M,M,M,X#Save I,X#Save I,X#Save J,X#Save O,X#Save O,X#Save O,X#Save O,X#Save O
OTILJSZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTILJSO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTILJZS,O,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
OTILJZO,O,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
OTILJOS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTILJOZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OTILSJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTILSJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTILSZJ,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
OTILSZO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTILSOJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTILSOZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTILZJS,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
OTILZJO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
OTILZSJ,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
