sequence,v115@GhA8HeD8DeF8CeE8JeT/IvhEZlBumB3iBtqBarB,v115@GhA8HeD8DeF8CeE8JeT/IvhEihB3iB9qBcrBOqB,v115@GhA8HeD8DeF8CeE8Jei/IvhERhB3iBTmB0qBFqB,v115@GhA8HeD8DeF8CeE8JeT/IvhE0gBlhB3iBxqB2vB,v115@GhA8HeD8DeF8CeE8JeT/IvhEdmBRiBCnB0qBOqB,v115@GhA8HeD8DeF8CeE8JeT/IvhE0hBliBxqBKqBfrB,v115@GhA8HeD8DeF8CeE8JeT/IvhEZlB0hBliBCrBfrB,v115@GhA8HeD8DeF8CeE8JeT/IvhE3iBxlB0lBlmB2vB,v115@GhA8HeD8DeF8CeE8JeT/IvhEamBumB3iB0qBNqB,v115@GhA8HeD8DeF8CeE8JeT/IvhE0gBRiBNqBCnBerB,v115@GhA8HeD8DeF8CeE8JeT/IvhE3iBNqBGmBimB0qB,v115@GhA8HeD8DeF8CeE8JeiBJvhE3iBxkBcrB9qBmpB,v115@GhA8HeD8DeF8CeE8Jex/IvhEihB3iB9qBcrBmpB,v115@GhA8HeD8DeF8CeE8JeT/IvhExgBliB3mB0qBiqB
queuecomp,"*p7"
cover,40.00%,36.67%,31.03%,28.89%,22.22%,21.11%,20.00%,9.52%,8.89%,6.35%,6.35%,6.35%,22.70%,30.32%
type,M,M,M,M,M,M,M,M,M,M,M,M,X#Save O,X#Save J
TILJSZO,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TILJSOZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TILJZSO,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TILJZOS,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TILJOSZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TILJOZS,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TILSJZO,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TILSJOZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TILSZJO,X,X,X,X,X,O,O,X,X,X,X,X,O,X
TILSZOJ,X,X,X,X,X,O,O,X,X,X,X,X,O,X
TILSOJZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TILSOZJ,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TILZJSO,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TILZJOS,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILZSJO,X,X,X,X,O,O,O,X,X,X,X,X,O,X
TILZSOJ,X,X,X,X,O,O,O,X,X,X,X,X,O,X
TILZOJS,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TILZOSJ,X,X,X,X,O,O,O,X,X,X,X,X,O,X
TILOJSZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TILOJZS,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TILOSJZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TILOSZJ,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TILOZJS,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TILOZSJ,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TIJLSZO,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TIJLSOZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TIJLZSO,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJLZOS,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJLOSZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TIJLOZS,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJSLZO,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TIJSLOZ,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TIJSZLO,O,X,X,O,X,O,X,X,X,X,X,X,O,X
TIJSZOL,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJSOLZ,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TIJSOZL,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJZLSO,O,X,X,O,X,X,X,X,X,X,X,X,O,X
TIJZLOS,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJZSLO,O,X,X,O,X,O,X,X,X,X,X,X,O,X
TIJZSOL,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJZOLS,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJZOSL,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJOLSZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TIJOLZS,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJOSLZ,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TIJOSZL,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJOZLS,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJOZSL,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TISLJZO,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TISLJOZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TISLZJO,X,X,X,X,X,O,O,X,X,X,X,X,O,X
TISLZOJ,X,X,X,X,X,O,O,X,X,X,X,X,O,X
TISLOJZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TISLOZJ,X,X,X,X,X,O,O,X,X,X,X,X,X,O
TISJLZO,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TISJLOZ,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TISJZLO,O,X,X,O,X,O,X,X,X,X,X,X,O,X
TISJZOL,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TISJOLZ,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TISJOZL,O,X,X,O,X,X,X,X,X,X,X,X,X,O
TISZLJO,X,O,X,X,X,O,X,X,X,X,X,O,O,O
TISZLOJ,X,O,X,X,X,O,X,X,X,X,X,O,O,O
TISZJLO,O,O,X,O,X,O,X,X,X,X,X,X,O,X
TISZJOL,O,O,X,O,X,X,X,X,X,X,X,X,O,O
TISZOLJ,X,O,X,X,X,O,X,X,X,X,X,X,O,O
TISZOJL,O,O,X,O,X,X,X,X,X,X,X,X,X,O
TISOLJZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TISOLZJ,X,X,X,X,X,O,O,X,X,X,X,X,X,O
TISOJLZ,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TISOJZL,O,X,X,O,X,X,X,X,X,X,X,X,X,O
TISOZLJ,X,O,X,X,X,O,X,X,X,X,X,X,O,O
TISOZJL,O,O,X,O,X,X,X,X,X,X,X,X,X,O
TIZLJSO,X,O,X,X,O,X,X,X,X,X,X,X,O,X
TIZLJOS,X,O,X,X,O,X,X,X,X,X,X,X,O,X
TIZLSJO,X,O,X,X,O,O,O,X,X,X,X,O,O,X
TIZLSOJ,X,O,X,X,O,O,O,X,X,X,X,O,O,X
TIZLOJS,X,O,X,X,O,X,X,X,X,O,X,X,X,X
TIZLOSJ,X,O,X,X,O,O,O,X,X,X,X,X,O,X
TIZJLSO,O,O,X,O,X,X,X,X,X,X,X,X,O,X
TIZJLOS,O,O,X,O,X,X,X,X,X,X,X,X,O,X
TIZJSLO,O,O,X,O,X,O,X,X,X,X,X,X,O,X
TIZJSOL,O,O,X,O,X,X,X,X,X,X,X,X,O,X
TIZJOLS,O,O,X,O,X,X,X,X,X,X,X,X,O,X
TIZJOSL,O,O,X,O,X,X,X,X,X,X,X,X,O,X
TIZSLJO,X,O,X,X,X,O,X,X,X,X,X,O,O,O
TIZSLOJ,X,O,X,X,X,O,X,X,X,X,X,O,O,O
TIZSJLO,O,O,X,O,X,O,X,X,X,X,X,X,O,X
TIZSJOL,O,O,X,O,X,X,X,X,X,X,X,X,O,O
TIZSOLJ,X,O,X,X,X,O,X,X,X,X,X,X,O,O
TIZSOJL,O,O,X,O,X,X,X,X,X,X,X,X,X,O
TIZOLJS,X,O,X,X,O,X,X,X,X,O,X,X,X,X
TIZOLSJ,X,O,X,X,O,O,O,X,X,X,X,X,O,X
TIZOJLS,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TIZOJSL,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TIZOSLJ,X,O,X,X,X,O,X,X,X,X,X,X,O,O
TIZOSJL,O,O,X,O,X,X,X,X,X,X,X,X,X,O
TIOLJSZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TIOLJZS,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOLSJZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TIOLSZJ,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TIOLZJS,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TIOLZSJ,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TIOJLSZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TIOJLZS,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOJSLZ,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TIOJSZL,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOJZLS,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOJZSL,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOSLJZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TIOSLZJ,X,X,X,X,X,O,O,X,X,X,X,X,X,O
TIOSJLZ,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TIOSJZL,O,X,X,O,X,X,X,X,X,X,X,X,X,O
TIOSZLJ,X,O,X,X,X,O,X,X,X,X,X,X,O,O
TIOSZJL,O,O,X,O,X,X,X,X,X,X,X,X,X,O
TIOZLJS,X,O,X,X,O,X,X,X,X,O,X,X,X,X
TIOZLSJ,X,O,X,X,O,O,O,X,X,X,X,X,O,X
TIOZJLS,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOZJSL,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOZSLJ,X,O,X,X,X,O,X,X,X,X,X,X,O,O
TIOZSJL,O,O,X,O,X,X,X,X,X,X,X,X,X,O
TLIJSZO,O,X,X,X,X,O,O,X,X,X,X,X,X,X
TLIJSOZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X
TLIJZSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJZOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJOSZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X
