sequence,v115@RhB8DeB8AeC8CeE8JeT/IvhFZlBumB3iBcoBtqBarB,v115@RhB8DeB8AeC8CeE8Jei/IvhFRhB3iBcoBTmB0qBFqB,v115@RhB8DeB8AeC8CeE8JeT/IvhFxgBliBcoB3mB0qBiqB,v115@RhB8DeB8AeC8CeE8JeT/IvhF0gBlhB3iBcoBxqB2vB,v115@RhB8DeB8AeC8CeE8JeT/IvhFdmBRiBcoBCnB0qBOqB,v115@RhB8DeB8AeC8CeE8JeT/IvhF0hBliBcoBxqBKqBfrB,v115@RhB8DeB8AeC8CeE8JeT/IvhFZlB0hBliBcoBCrBfrB,v115@RhB8DeB8AeC8CeE8JeT/IvhF0gB0hBSoBNqBmnBXrB,v115@RhB8DeB8AeC8CeE8JeT/IvhFamBumB3iBcoB0qBNqB,v115@RhB8DeB8AeC8CeE8JeT/IvhF3iBcoBxlB0lBlmB2vB,v115@RhB8DeB8AeC8CeE8JeT/IvhF3iBcoBNqBGmBimB0qB,v115@RhB8DeB8AeC8CeE8JeT/IvhFihB3iBcoB9qBcrBOqB,v115@RhB8DeB8AeC8CeE8Jex/IvhFihB3iBcoB9qBcrBmpB,v115@RhB8DeB8AeC8CeE8JeiBJvhF3iBcoBxkBcrB9qBmpB
cover,40.00%,32.22%,31.27%,30.79%,26.67%,21.11%,20.00%,15.08%,10.95%,9.52%,6.35%,41.67%,25.87%,7.14%
type,M,M,M,M,M,M,M,M,M,M,M,X#Save I,X#Save O,X#Save O
ZTILJSZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
ZTILJSO,O,X,X,O,X,O,O,X,X,X,X,X,X,X
ZTILJZS,O,X,X,O,X,X,X,X,X,X,X,X,O,X
ZTILJZO,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZTILJOS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
ZTILJOZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZTILSJZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
ZTILSJO,O,X,X,O,X,O,O,X,X,X,X,X,X,X
ZTILSZJ,X,X,X,X,X,O,O,X,X,X,X,X,O,X
ZTILSZO,X,X,X,X,X,O,O,X,X,X,X,X,O,X
ZTILSOJ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
ZTILSOZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X
ZTILZJS,X,X,X,X,O,X,X,X,X,X,X,O,O,X
ZTILZJO,X,X,X,X,O,X,X,X,X,X,X,O,O,X
ZTILZSJ,X,X,X,X,O,O,O,X,X,X,X,O,O,O
ZTILZSO,X,X,X,X,O,O,O,X,X,X,X,O,O,O
ZTILZOJ,X,X,X,X,O,X,X,O,X,X,X,O,X,X
ZTILZOS,X,X,X,X,O,O,O,X,X,X,X,O,O,X
ZTILOJS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
ZTILOJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZTILOSJ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
ZTILOSZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X
ZTILOZJ,X,X,X,X,O,X,X,O,X,X,X,O,X,X
