sequence,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBGhBTjB/rBNsB6sB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBamB5nBTjBdsBurB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBRhBGjBTmBXsBlsB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBFhBXiBTjBxrBSxB,v115@RhA8AeB8DeG8CeB8Je/EJvhFRgBtmBTjBmlBXsB6sB,v115@RhA8AeB8DeG8CeB8Je/EJvhFFgBXhB5nBTjBmrB8rB,v115@RhA8AeB8DeG8CeB8Je2EJvhFXhBXiBTjB9sBClB0rB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBamBumBTjBXsB9sB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBTjBxmBFmBXnBSxB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBTjBimB9sBGmBXsB,v115@RhA8AeB8DeG8CeB8Je/EJvhFFgBxhBTjBUmBXsBGsB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBGhBxiB/rBNsBCtB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBGhB/rBxnBNsBCtB
queuecomp,"S,*p6"
cover,41.67%,40.00%,32.22%,30.79%,26.67%,20.00%,15.08%,10.95%,9.52%,6.35%,31.27%,25.87%,7.14%
type,M,M,M,M,M,M,M,M,M,M,X#Save L,X#Save O,X#Save O
STILJSZ,X,O,X,O,X,X,X,X,X,X,X,O,X
STILJSO,X,O,X,O,X,X,X,X,X,X,X,X,X
STILJZS,X,O,X,O,X,O,X,X,X,X,X,X,X
STILJZO,X,O,X,O,X,O,X,X,X,X,X,X,X
STILJOS,X,O,X,O,X,X,X,X,X,X,X,X,X
STILJOZ,X,O,X,O,X,O,X,X,X,X,X,X,X
STILSJZ,X,O,X,O,X,X,X,X,X,X,X,O,X
STILSJO,X,O,X,O,X,X,X,X,X,X,X,X,X
STILSZJ,X,O,X,O,X,X,X,X,X,X,X,O,X
STILSZO,X,O,X,O,X,X,X,X,X,X,X,X,X
STILSOJ,X,O,X,O,X,X,X,X,X,X,X,X,X
STILSOZ,X,O,X,O,X,X,X,X,X,X,X,X,X
STILZJS,X,O,X,O,X,X,X,X,X,X,X,X,X
STILZJO,X,O,X,O,X,X,X,X,X,X,X,X,X
STILZSJ,X,O,X,O,X,X,X,X,X,X,X,O,X
STILZSO,X,O,X,O,X,X,X,X,X,X,X,X,X
STILZOJ,X,O,X,O,X,X,X,X,X,O,X,X,X
STILZOS,X,O,X,O,X,X,X,X,X,X,X,X,X
STILOJS,X,O,X,O,X,X,X,X,X,X,X,X,X
STILOJZ,X,O,X,O,X,O,X,X,X,X,X,X,X
STILOSJ,X,O,X,O,X,X,X,X,X,X,X,X,X
STILOSZ,X,O,X,O,X,X,X,X,X,X,X,X,X
STILOZJ,X,O,X,O,X,X,X,X,X,O,X,X,X
STILOZS,X,O,X,O,X,X,X,X,X,X,X,X,X
STIJLSZ,X,O,X,O,X,X,X,X,X,X,X,O,X
STIJLSO,X,O,X,O,X,X,X,X,X,X,X,X,X
STIJLZS,X,O,X,O,X,O,X,X,X,X,X,X,X
STIJLZO,X,O,X,O,X,O,X,X,X,X,X,X,X
STIJLOS,X,O,X,O,X,X,X,X,X,X,X,X,X
STIJLOZ,X,O,X,O,X,O,X,X,X,X,X,X,X
STIJSLZ,O,X,X,X,O,X,X,X,X,X,X,O,X
STIJSLO,O,X,X,X,O,X,X,X,X,X,X,O,X
STIJSZL,O,X,X,X,O,O,X,X,X,X,X,O,O
STIJSZO,O,X,X,X,O,O,X,X,X,X,X,O,O
STIJSOL,O,X,X,X,O,X,O,X,X,X,X,X,X
STIJSOZ,O,X,X,X,O,O,X,X,X,X,X,O,X
STIJZLS,X,O,X,O,X,O,X,X,X,X,X,X,X
STIJZLO,X,O,X,O,X,O,X,X,X,X,X,X,X
STIJZSL,X,X,X,X,X,O,X,X,X,X,X,O,X
STIJZSO,X,X,X,X,X,O,X,X,X,X,X,O,X
STIJZOL,X,O,X,O,X,O,X,X,X,X,X,X,X
STIJZOS,X,X,X,X,X,O,X,X,X,X,X,X,X
STIJOLS,X,O,X,O,X,X,X,X,X,X,X,X,X
STIJOLZ,X,O,X,O,X,O,X,X,X,X,X,X,X
STIJOSL,O,X,X,X,O,X,O,X,X,X,X,X,X
STIJOSZ,O,X,X,X,O,O,X,X,X,X,X,O,X
STIJOZL,X,O,X,O,X,O,X,X,X,X,X,X,X
STIJOZS,X,X,X,X,X,O,X,X,X,X,X,X,X
STISLJZ,O,O,X,O,X,X,X,X,X,X,X,O,X
STISLJO,O,O,X,O,X,X,X,X,X,X,X,O,X
STISLZJ,O,O,X,O,X,X,X,X,X,X,X,O,X
STISLZO,O,O,X,O,X,X,X,X,X,X,X,O,X
STISLOJ,O,O,X,O,X,X,X,X,X,X,X,O,X
STISLOZ,O,O,X,O,X,X,X,X,X,X,X,O,X
STISJLZ,O,X,X,X,O,X,X,X,X,X,X,O,X
STISJLO,O,X,X,X,O,X,X,X,X,X,X,O,X
STISJZL,O,X,X,X,O,O,X,X,X,X,X,O,O
STISJZO,O,X,X,X,O,O,X,X,X,X,X,O,O
STISJOL,O,X,X,X,O,X,O,X,X,X,X,X,X
STISJOZ,O,X,X,X,O,O,X,X,X,X,X,O,X
STISZLJ,O,O,X,O,X,X,X,X,X,X,X,O,X
STISZLO,O,O,X,O,X,X,X,X,X,X,O,O,X
STISZJL,O,X,X,X,X,X,X,X,X,X,O,O,O
STISZJO,O,X,X,X,X,X,X,X,X,X,O,O,O
STISZOL,O,O,X,O,X,X,X,X,X,X,O,X,X
STISZOJ,O,X,X,X,X,X,X,X,X,X,O,O,X
STISOLJ,O,O,X,O,X,X,X,X,X,X,X,X,X
STISOLZ,O,O,X,O,X,X,X,X,X,X,X,X,X
STISOJL,O,X,X,X,O,X,O,X,X,X,X,X,X
STISOJZ,O,X,X,X,O,O,X,X,X,X,X,O,X
STISOZL,O,O,X,O,X,X,X,X,X,X,O,X,X
STISOZJ,O,X,X,X,X,X,X,X,X,X,O,O,X
STIZLJS,X,O,X,O,X,X,X,X,X,X,X,X,X
STIZLJO,X,O,X,O,X,X,X,X,X,X,X,X,X
STIZLSJ,X,O,X,O,X,X,X,X,X,X,X,O,X
STIZLSO,X,O,X,O,X,X,X,X,X,X,X,X,X
STIZLOJ,X,O,X,O,X,X,X,X,X,O,X,X,X
STIZLOS,X,O,X,O,X,X,X,X,X,X,O,X,X
STIZJLS,X,O,X,O,X,O,X,X,X,X,X,X,X
STIZJLO,X,O,X,O,X,O,X,X,X,X,X,X,X
STIZJSL,X,X,X,X,X,O,X,X,X,X,X,O,X
STIZJSO,X,X,X,X,X,O,X,X,X,X,X,O,X
STIZJOL,X,O,X,O,X,O,X,X,X,X,X,X,X
STIZJOS,X,X,X,X,X,O,X,X,X,X,O,X,X
STIZSLJ,O,O,X,O,X,X,X,X,X,X,X,O,X
STIZSLO,O,O,X,O,X,X,X,X,X,X,O,O,X
STIZSJL,O,X,X,X,X,X,X,X,X,X,O,O,O
STIZSJO,O,X,X,X,X,X,X,X,X,X,O,O,O
STIZSOL,O,O,X,O,X,X,X,X,X,X,O,X,X
STIZSOJ,O,X,X,X,X,X,X,X,X,X,O,O,X
STIZOLJ,X,O,X,O,X,X,X,X,X,O,X,X,X
STIZOLS,X,O,X,O,X,X,X,X,X,X,O,X,X
STIZOJL,X,O,X,O,X,O,X,X,X,X,X,X,X
STIZOJS,X,X,X,X,X,O,X,X,X,X,O,X,X
STIZOSL,O,O,X,O,X,X,X,X,X,X,O,X,X
STIZOSJ,O,X,X,X,X,X,X,X,X,X,O,O,X
STIOLJS,X,O,X,O,X,X,X,X,X,X,X,X,X
STIOLJZ,X,O,X,O,X,O,X,X,X,X,X,X,X
STIOLSJ,X,O,X,O,X,X,X,X,X,X,X,X,X
STIOLSZ,X,O,X,O,X,X,X,X,X,X,X,X,X
STIOLZJ,X,O,X,O,X,X,X,X,X,O,X,X,X
STIOLZS,X,O,X,O,X,X,X,X,X,X,X,X,X
STIOJLS,X,O,X,O,X,X,X,X,X,X,X,X,X
STIOJLZ,X,O,X,O,X,O,X,X,X,X,X,X,X
STIOJSL,O,X,X,X,O,X,O,X,X,X,X,X,X
STIOJSZ,O,X,X,X,O,O,X,X,X,X,X,O,X
STIOJZL,X,O,X,O,X,O,X,X,X,X,X,X,X
STIOJZS,X,X,X,X,X,O,X,X,X,X,X,X,X
STIOSLJ,O,O,X,O,X,X,X,X,X,X,X,X,X
STIOSLZ,O,O,X,O,X,X,X,X,X,X,X,X,X
STIOSJL,O,X,X,X,O,X,O,X,X,X,X,X,X
STIOSJZ,O,X,X,X,O,O,X,X,X,X,X,O,X
STIOSZL,O,O,X,O,X,X,X,X,X,X,O,X,X
STIOSZJ,O,X,X,X,X,X,X,X,X,X,O,O,X
STIOZLJ,X,O,X,O,X,X,X,X,X,O,X,X,X
STIOZLS,X,O,X,O,X,X,X,X,X,X,O,X,X
STIOZJL,X,O,X,O,X,O,X,X,X,X,X,X,X
STIOZJS,X,X,X,X,X,O,X,X,X,X,O,X,X
STIOZSL,O,O,X,O,X,X,X,X,X,X,O,X,X
STIOZSJ,O,X,X,X,X,X,X,X,X,X,O,O,X
STLIJSZ,X,O,X,X,X,X,X,X,X,X,X,O,X
STLIJSO,X,O,X,X,X,X,X,X,X,X,X,X,X
STLIJZS,X,O,X,X,X,O,X,X,X,X,X,X,X
STLIJZO,X,O,X,X,X,O,X,X,X,X,X,X,X
STLIJOS,X,O,X,X,X,X,X,X,X,X,X,X,X
STLIJOZ,X,O,X,X,X,O,X,X,X,X,X,X,X
STLISJZ,X,O,X,X,X,X,X,X,X,X,X,O,X
STLISJO,X,O,X,X,X,X,X,X,X,X,X,X,X
STLISZJ,X,O,X,X,X,X,X,X,X,X,X,O,X
STLISZO,X,O,X,X,X,X,X,X,X,X,X,X,X
STLISOJ,X,O,X,X,X,X,X,X,X,X,X,X,X
STLISOZ,X,O,X,X,X,X,X,X,X,X,X,X,X
STLIZJS,X,O,X,X,X,X,X,X,X,X,X,X,X
STLIZJO,X,O,X,X,X,X,X,X,X,X,X,X,X
STLIZSJ,X,O,X,X,X,X,X,X,X,X,X,O,X
STLIZSO,X,O,X,X,X,X,X,X,X,X,X,X,X
STLIZOJ,X,O,X,X,X,X,X,X,O,O,X,X,X
STLIZOS,X,O,X,X,X,X,X,X,O,X,X,X,X
STLIOJS,X,O,X,X,X,X,X,X,X,X,X,X,X
STLIOJZ,X,O,X,X,X,O,X,X,X,X,X,X,X
STLIOSJ,X,O,X,X,X,X,X,X,X,X,X,X,X
STLIOSZ,X,O,X,X,X,X,X,X,X,X,X,X,X
STLIOZJ,X,O,X,X,X,X,X,X,O,O,X,X,X
STLIOZS,X,O,X,X,X,X,X,X,O,X,X,X,X
STLJISZ,X,O,X,X,X,X,X,X,X,X,X,O,X
STLJISO,X,O,X,X,X,X,X,X,X,X,X,X,X
STLJIZS,X,O,X,X,X,O,X,X,X,X,X,X,X
STLJIZO,X,O,X,X,X,O,X,X,X,X,X,X,X
STLJIOS,X,O,X,X,X,X,X,X,X,X,X,X,X
STLJIOZ,X,O,X,X,X,O,X,X,X,X,X,X,X
STLJSIZ,O,X,X,X,O,X,X,O,X,X,X,O,X
STLJSIO,O,X,X,X,O,X,X,O,X,X,X,O,X
STLJSZI,O,X,X,X,O,X,X,O,X,X,X,O,X
STLJSZO,O,X,X,X,O,X,X,O,X,X,X,O,X
STLJSOI,O,X,X,X,O,X,O,O,X,X,X,O,X
STLJSOZ,O,X,X,X,O,X,O,O,X,X,X,O,X
STLJZIS,X,O,X,X,X,X,X,X,X,X,X,X,X
STLJZIO,X,O,X,X,X,X,X,X,X,X,X,X,X
STLJZSI,X,X,X,X,X,X,X,X,X,X,X,X,X
STLJZSO,X,X,X,X,X,X,X,X,X,X,X,X,X
STLJZOI,X,O,X,X,X,X,X,X,X,O,X,X,X
STLJZOS,X,X,X,X,X,X,X,X,X,O,X,X,X
STLJOIS,X,O,X,X,X,X,X,X,X,X,X,X,X
STLJOIZ,X,O,X,X,X,O,X,X,X,X,X,X,X
STLJOSI,O,X,X,X,O,X,O,X,X,X,X,X,X
STLJOSZ,O,X,X,X,O,X,O,X,X,X,X,X,X
STLJOZI,X,O,X,X,X,X,X,X,X,O,X,X,X
STLJOZS,X,X,X,X,X,X,X,X,X,O,X,X,X
STLSIJZ,O,O,X,X,X,X,X,X,X,X,X,O,X
STLSIJO,O,O,X,X,X,X,X,X,X,X,X,O,X
STLSIZJ,O,O,X,X,X,X,X,X,X,X,X,O,X
STLSIZO,O,O,X,X,X,X,X,X,X,X,X,O,X
STLSIOJ,O,O,X,X,X,X,X,X,X,X,X,O,X
STLSIOZ,O,O,X,X,X,X,X,X,X,X,X,O,X
STLSJIZ,O,X,X,X,O,X,X,O,X,X,X,O,X
STLSJIO,O,X,X,X,O,X,X,O,X,X,X,O,X
STLSJZI,O,X,X,X,O,X,X,O,X,X,X,O,X
STLSJZO,O,X,X,X,O,X,X,O,X,X,X,O,X
STLSJOI,O,X,X,X,O,X,O,O,X,X,X,O,X
STLSJOZ,O,X,X,X,O,X,O,O,X,X,X,O,X
STLSZIJ,O,O,X,X,X,X,X,X,X,X,X,O,X
STLSZIO,O,O,X,X,X,X,X,X,X,X,O,O,X
STLSZJI,O,X,X,X,X,X,X,O,X,X,O,O,X
STLSZJO,O,X,X,X,X,X,X,O,X,X,O,O,X
STLSZOI,O,O,X,X,X,X,X,X,X,X,O,O,X
STLSZOJ,O,X,X,X,X,X,X,X,X,O,O,O,X
STLSOIJ,O,O,X,X,X,X,X,X,X,X,X,O,X
STLSOIZ,O,O,X,X,X,X,X,X,X,X,X,O,X
STLSOJI,O,X,X,X,O,X,O,X,X,X,X,O,X
STLSOJZ,O,X,X,X,O,X,O,X,X,X,X,O,X
STLSOZI,O,O,X,X,X,X,X,X,X,X,O,O,X
