sequence,v115@RhB8DeB8AeC8CeE8JeT/IvhFihB3iBcoB9qBcrBOqB,v115@RhB8DeB8AeC8CeE8JeT/IvhFZlBumB3iBcoBtqBarB,v115@RhB8DeB8AeC8CeE8Jei/IvhFRhB3iBcoBTmB0qBFqB,v115@RhB8DeB8AeC8CeE8JeT/IvhF0gBlhB3iBcoBxqB2vB,v115@RhB8DeB8AeC8CeE8JeT/IvhFdmBRiBcoBCnB0qBOqB,v115@RhB8DeB8AeC8CeE8JeT/IvhFZlB0hBliBcoBCrBfrB,v115@RhB8DeB8AeC8CeE8JeT/IvhF0gB0hBSoBNqBmnBXrB,v115@RhB8DeB8AeC8CeE8JeT/IvhFamBumB3iBcoB0qBNqB,v115@RhB8DeB8AeC8CeE8JeT/IvhF3iBcoBxlB0lBlmB2vB,v115@RhB8DeB8AeC8CeE8JeT/IvhF3iBcoBNqBGmBimB0qB,v115@RhB8DeB8AeC8CeE8JeT/IvhFxgBliBcoB3mB0qBiqB,v115@RhB8DeB8AeC8CeE8Jex/IvhFihB3iBcoB9qBcrBmpB,v115@RhB8DeB8AeC8CeE8JeiBJvhF3iBcoBxkBcrB9qBmpB
queuecomp,"Z,*p6"
cover,41.67%,40.00%,32.22%,30.79%,26.67%,20.00%,15.08%,10.95%,9.52%,6.35%,31.27%,25.87%,7.14%
type,M,M,M,M,M,M,M,M,M,M,X#Save J,X#Save O,X#Save O
ZTILJSZ,X,O,X,O,X,O,X,X,X,X,X,X,X
ZTILJSO,X,O,X,O,X,O,X,X,X,X,X,X,X
ZTILJZS,X,O,X,O,X,X,X,X,X,X,X,O,X
ZTILJZO,X,O,X,O,X,X,X,X,X,X,X,X,X
ZTILJOS,X,O,X,O,X,O,X,X,X,X,X,X,X
ZTILJOZ,X,O,X,O,X,X,X,X,X,X,X,X,X
ZTILSJZ,X,O,X,O,X,O,X,X,X,X,X,X,X
ZTILSJO,X,O,X,O,X,O,X,X,X,X,X,X,X
ZTILSZJ,X,X,X,X,X,O,X,X,X,X,X,O,X
ZTILSZO,X,X,X,X,X,O,X,X,X,X,X,O,X
ZTILSOJ,X,O,X,O,X,O,X,X,X,X,X,X,X
ZTILSOZ,X,X,X,X,X,O,X,X,X,X,X,X,X
ZTILZJS,O,X,X,X,O,X,X,X,X,X,X,O,X
ZTILZJO,O,X,X,X,O,X,X,X,X,X,X,O,X
ZTILZSJ,O,X,X,X,O,O,X,X,X,X,X,O,O
ZTILZSO,O,X,X,X,O,O,X,X,X,X,X,O,O
ZTILZOJ,O,X,X,X,O,X,O,X,X,X,X,X,X
ZTILZOS,O,X,X,X,O,O,X,X,X,X,X,O,X
ZTILOJS,X,O,X,O,X,O,X,X,X,X,X,X,X
ZTILOJZ,X,O,X,O,X,X,X,X,X,X,X,X,X
ZTILOSJ,X,O,X,O,X,O,X,X,X,X,X,X,X
ZTILOSZ,X,X,X,X,X,O,X,X,X,X,X,X,X
ZTILOZJ,O,X,X,X,O,X,O,X,X,X,X,X,X
ZTILOZS,O,X,X,X,O,O,X,X,X,X,X,O,X
ZTIJLSZ,X,O,X,O,X,O,X,X,X,X,X,X,X
ZTIJLSO,X,O,X,O,X,O,X,X,X,X,X,X,X
ZTIJLZS,X,O,X,O,X,X,X,X,X,X,X,O,X
ZTIJLZO,X,O,X,O,X,X,X,X,X,X,X,X,X
ZTIJLOS,X,O,X,O,X,O,X,X,X,X,X,X,X
ZTIJLOZ,X,O,X,O,X,X,X,X,X,X,X,X,X
ZTIJSLZ,X,O,X,O,X,X,X,X,X,X,X,X,X
ZTIJSLO,X,O,X,O,X,X,X,X,X,X,X,X,X
ZTIJSZL,X,O,X,O,X,X,X,X,X,X,X,O,X
ZTIJSZO,X,O,X,O,X,X,X,X,X,X,X,X,X
ZTIJSOL,X,O,X,O,X,X,X,X,X,O,X,X,X
ZTIJSOZ,X,O,X,O,X,X,X,X,X,X,X,X,X
ZTIJZLS,X,O,X,O,X,X,X,X,X,X,X,O,X
ZTIJZLO,X,O,X,O,X,X,X,X,X,X,X,X,X
