sequence,v115@GhA8HeB8FeD8EeE8JeZFJvhFzgBumB3iBNpBzqB6pB,v115@GhA8HeB8FeD8EeE8Jei/IvhFRhB3iBTmBTpB0qBFqB,v115@GhA8HeB8FeD8EeE8JeT/IvhFxgBliB3mBTpB0qBiqB,v115@GhA8HeB8FeD8EeE8JeT/IvhF0gBlhB3iBTpBxqB2vB,v115@GhA8HeB8FeD8EeE8JeT/IvhFdmBRiBCnBTpB0qBOqB,v115@GhA8HeB8FeD8EeE8JeT/IvhF0hBliBTpBxqBKqBfrB,v115@GhA8HeB8FeD8EeE8JeT/IvhFZlB0hBliBTpBCrBfrB,v115@GhA8HeB8FeD8EeE8JeRAJvhFumB3iBilB0pBzqBNpB,v115@GhA8HeB8FeD8EeE8JeOEJvhFzgBRiBCnB3pBzqBdqB,v115@GhA8HeB8FeD8EeE8JeT/IvhF0gBRiBNqBCnBerBTpB,v115@GhA8HeB8FeD8EeE8JeT/IvhF3iBNqBGmBimBTpB0qB,v115@GhA8HeB8FeD8EeE8JeT/IvhFihB3iB9qBcrBTpBOqB,v115@GhA8HeB8FeD8EeE8JeT/IvhFamBumB3iBTpB0qBNqB,v115@GhA8HeB8FeD8EeE8JeT/IvhF3iBxlB0lBlmBTpB2vB,v115@GhA8HeB8FeD8EeE8JeuGJvhF3iBNpBRlBilBzqB0pB,v115@GhA8HeB8FeD8EeE8JedFJvhFRhB3iBqqBTmB0pBOpB,v115@GhA8HeB8FeD8EeE8Je0/IvhFumB3iBNpBzlBilBRvB,v115@GhA8HeB8FeD8EeE8Je0/IvhFumB3iBKpBRqBdrBTqB,v115@GhA8HeB8FeD8EeE8Je2FJvhFRhB3iBNpBcrBTqB6pB
cover,40.00%,35.95%,30.32%,29.88%,22.22%,21.11%,20.00%,13.33%,6.67%,6.35%,6.35%,36.67%,8.89%,9.52%,6.35%,16.67%,8.33%,1.31%,28.89%
type,M,M,M,M,M,M,M,M,M,M,M,X#Save I,X#Save I,X#Save L,X#Save O,X#Save O,X#Save O,X#Save O,X#Save O
OTILJSZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,O,X,X
OTILJSO,O,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
OTILJZS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
OTILJZO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTILJOS,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OTILJOZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTILSJZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,O,X,X
OTILSJO,O,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
OTILSZJ,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X
OTILSZO,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
OTILSOJ,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OTILSOZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OTILZJS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X
OTILZJO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OTILZSJ,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X
OTILZSO,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
OTILZOJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
OTILZOS,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
OTILOJS,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OTILOJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTILOSJ,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OTILOSZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OTILOZJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
OTILOZS,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OTIJLSZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,O,X,X
OTIJLSO,O,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
OTIJLZS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
OTIJLZO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIJLOS,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OTIJLOZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIJSLZ,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
OTIJSLO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
OTIJSZL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
OTIJSZO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
OTIJSOL,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
OTIJSOZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
OTIJZLS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
OTIJZLO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIJZSL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
OTIJZSO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
OTIJZOL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIJZOS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
OTIJOLS,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OTIJOLZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIJOSL,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
OTIJOSZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
OTIJOZL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIJOZS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
OTISLJZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,O,X,X
OTISLJO,O,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
OTISLZJ,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X
OTISLZO,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
OTISLOJ,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OTISLOZ,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OTISJLZ,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
OTISJLO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
OTISJZL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
OTISJZO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
OTISJOL,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
OTISJOZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
OTISZLJ,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,O
OTISZLO,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
OTISZJL,O,X,X,O,X,O,X,X,X,X,X,O,X,X,O,X,O,X,O
OTISZJO,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O
OTISZOL,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
OTISZOJ,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O
OTISOLJ,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OTISOLZ,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OTISOJL,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
OTISOJZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
OTISOZL,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
OTISOZJ,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
OTIZLJS,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,O
OTIZLJO,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OTIZLSJ,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,O,X,O
OTIZLSO,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,O
OTIZLOJ,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O
OTIZLOS,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,O
OTIZJLS,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O
OTIZJLO,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OTIZJSL,O,X,X,O,X,O,X,X,X,X,X,O,X,X,O,X,O,X,O
OTIZJSO,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O
OTIZJOL,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OTIZJOS,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O
OTIZSLJ,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,O
OTIZSLO,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
OTIZSJL,O,X,X,O,X,O,X,X,X,X,X,O,X,X,O,X,O,X,O
OTIZSJO,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O
OTIZSOL,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
OTIZSOJ,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O
OTIZOLJ,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O
OTIZOLS,X,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,O
OTIZOJL,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OTIZOJS,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O
OTIZOSL,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
OTIZOSJ,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O
OTIOLJS,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OTIOLJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIOLSJ,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OTIOLSZ,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OTIOLZJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
OTIOLZS,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OTIOJLS,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OTIOJLZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIOJSL,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
OTIOJSZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
OTIOJZL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIOJZS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
OTIOSLJ,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OTIOSLZ,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OTIOSJL,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
OTIOSJZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
OTIOSZL,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
OTIOSZJ,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
OTIOZLJ,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
OTIOZLS,X,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
OTIOZJL,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OTIOZJS,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
OTIOZSL,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
OTIOZSJ,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
OTLIJSZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
OTLIJSO,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
OTLIJZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLIJZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLIJOS,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OTLIJOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLISJZ,O,X,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X
OTLISJO,O,X,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X
OTLISZJ,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
OTLISZO,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
OTLISOJ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OTLISOZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OTLIZJS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OTLIZJO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OTLIZSJ,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
OTLIZSO,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
OTLIZOJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
OTLIZOS,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
OTLIOJS,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OTLIOJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLIOSJ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OTLIOSZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OTLIOZJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
OTLIOZS,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OTLJISZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
OTLJISO,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
OTLJIZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLJIZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLJIOS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OTLJIOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLJSIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OTLJSIO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OTLJSZI,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OTLJSZO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
